timestamp,X (mg),Y (mg),Z (mg)
3484428,-578,744,256
3484450,-596,738,257
3484510,-599,740,244
3484570,-589,744,267
3484600,-599,739,279
3484660,-593,746,260
3484720,-596,741,253
3484750,-587,751,238
3484810,-574,752,222
3484870,-595,752,205
3484900,-594,750,175
3484960,-642,771,186
3485021,-619,752,216
3485050,-589,757,244
3485110,-589,773,248
3485171,-587,767,238
3485200,-566,774,203
3485291,-613,763,198
3485322,-609,751,182
3485350,-634,752,155
3485410,-592,755,162
3485471,-590,749,204
3485500,-638,761,259
3485561,-554,745,228
3485621,-665,753,211
3485650,-621,746,113
3485710,-591,768,79
3485770,-647,769,174
3485800,-589,736,217
3485860,-577,750,241
3485921,-643,771,230
3485950,-562,764,196
3486010,-624,771,179
3486071,-637,753,175
3486100,-544,754,176
3486160,-593,776,251
3486221,-587,762,223
3486250,-607,754,165
3486312,-610,767,169
3486370,-569,772,206
3486400,-583,767,240
3486460,-579,762,205
3486521,-619,769,177
3486550,-593,767,182
3486610,-587,756,205
3486670,-568,777,206
3486700,-589,771,170
3486760,-569,774,208
3486821,-577,769,201
3486850,-611,768,177
3486910,-579,771,178
3486971,-598,770,194
3487000,-563,776,201
3487060,-581,769,206
3487120,-591,769,187
3487150,-595,767,164
3487211,-582,773,194
3487271,-588,769,185
3487300,-612,767,195
3487360,-574,757,205
3487420,-585,770,199
3487450,-581,777,190
3487511,-590,762,185
3487571,-569,777,195
3487600,-590,772,200
3487661,-570,756,166
3487721,-572,752,142
3487751,-607,779,185
3487811,-639,747,195
3487871,-639,822,228
3487900,-591,768,175
3487961,-725,828,172
3488020,-564,778,153
3488050,-480,811,96
3488111,-608,791,142
3488171,-449,797,174
3488200,-470,774,260
3488261,-456,761,273
3488321,-498,769,208
3488351,-492,809,143
3488411,-466,832,164
3488471,-478,797,203
3488500,-530,821,180
3488561,-604,815,181
3488620,-610,755,221
3488650,-567,851,234
3488711,-661,763,232
3488771,-541,714,127
3488800,-661,770,159
3488861,-669,741,206
3488920,-569,744,176
3488950,-622,764,173
3489011,-583,773,123
3489071,-606,762,134
3489100,-637,752,184
3489160,-607,741,187
3489220,-656,761,203
3489250,-627,748,187
3489311,-578,755,157
3489370,-586,775,149
3489400,-586,756,158
3489460,-607,760,207
3489520,-591,754,209
3489550,-597,764,223
3489641,-612,753,230
3489671,-574,761,203
3489700,-600,765,198
3489761,-599,757,208
3489820,-607,748,192
3489850,-627,748,185
3489911,-592,749,188
3489970,-625,751,236
3490000,-612,739,210
3490061,-602,751,194
3490120,-603,753,214
3490150,-591,747,197
3490211,-614,756,197
3490270,-604,752,208
3490300,-599,750,212
3490360,-605,752,204
3490420,-610,753,192
3490450,-613,750,204
3490511,-609,748,211
3490571,-602,754,197
3490600,-611,751,191
3490661,-606,752,201
3490720,-612,746,199
3490750,-604,746,200
3490811,-625,753,211
3490870,-596,739,197
3490900,-630,759,197
3490961,-603,752,168
3491020,-620,751,197
3491050,-606,750,214
3491111,-601,749,210
3491170,-620,749,176
3491200,-641,745,190
3491261,-611,732,187
3491320,-636,741,205
3491350,-622,734,203
3491411,-626,732,192
3491471,-645,733,195
3491500,-612,735,200
3491561,-637,738,215
3491620,-605,734,192
3491650,-630,739,200
3491710,-624,735,211
3491771,-626,733,212
3491800,-634,735,201
3491861,-628,732,197
3491920,-634,730,211
3491951,-629,731,212
3492011,-635,729,211
3492071,-622,733,193
3492101,-637,732,203
3492161,-626,728,208
3492221,-636,730,211
3492251,-635,735,208
3492311,-616,735,202
3492371,-633,736,207
3492400,-624,733,215
3492461,-609,735,205
3492520,-643,737,214
3492550,-611,733,214
3492611,-618,742,212
3492670,-619,745,200
3492700,-607,744,194
3492761,-634,743,206
3492820,-609,733,217
3492852,-625,743,229
3492910,-608,745,202
3492970,-629,746,182
3493001,-615,743,189
3493060,-617,740,199
3493120,-615,743,213
3493151,-608,745,202
3493211,-631,743,202
3493271,-606,748,190
3493300,-626,750,205
3493360,-606,744,202
3493420,-611,750,188
3493451,-625,751,200
3493511,-597,746,203
3493571,-622,757,203
3493600,-606,744,175
3493660,-622,744,181
3493720,-613,748,208
3493750,-599,745,207
3493811,-628,747,192
3493871,-608,753,173
3493900,-618,751,201
3493961,-591,752,210
3494020,-613,753,203
3494050,-612,747,176
3494111,-622,750,189
3494170,-608,748,202
3494201,-616,749,200
3494260,-617,751,188
3494321,-610,747,185
3494350,-615,750,205
3494411,-626,743,196
3494471,-603,750,172
3494501,-619,748,212
3494561,-602,741,214
3494621,-625,747,203
3494651,-612,747,179
3494711,-620,746,189
3494771,-610,749,200
